id,name,birth,rating,noOfTimesRated
2647980,Janet Lopez,1985,0,0
871636,Robert Trebor,1953,0,0
1182729,Fabio Volo,1972,0,0
253207,Napoleon Eleftheriou,1920,0,0
168262,Rory Cochrane,1972,0,0
305763,Adelaida García Morales,1945,0,0
2249544,Emerson Collins,1984,0,0
1920835,Megan Marie Wilson,1985,0,0
542035,Tzvetana Maneva,1944,0,0
790212,Galina Shcherbakova,1932,0,0
287647,Paolo Fosso,1965,0,0
1120097,Fred Zeytoonjian,1964,0,0
649649,Francesc Orella,1957,0,0
93681,Roberto Della Casa,1942,0,0
2184377,Amelle Berrabah,1984,0,0
161267,Mark Chung,1957,0,0
271633,Elvin Feltner,1929,0,0
112,Pierce Brosnan,1953,0,0
59386,Zdenek Barták,1954,0,0
2562247,Rosalía Mera,1944,0,0
5580066,Theresa Bäuerlein,1980,0,0
508554,Xuejian Li,1954,0,0
521786,Paul Loughran,1969,0,0
2781284,Riccardo Leto,1967,0,0
1131901,Denver Beattie,1970,0,0
5163,Greg Louganis,1960,0,0
1452334,Patrícia Bargalló,1979,0,0
1800527,Þórunn Lárusdóttir,1973,0,0
1534763,Jan Bos,1962,0,0
465487,Stepán Konícek,1928,0,0
2268729,Konstantin Shelestun,1975,0,0
257102,Judith Engel,1969,0,0
792581,Samuel M. Sherman,1940,0,0
354393,Fred Haise,1933,0,0
6376092,Olivia Krochko,1994,0,0
3152714,Patrick Mediate,1984,0,0
1406138,Kevin J. Burroughs,1977,0,0
790415,Alan Shearer,1970,0,0
10074395,Thanh Duy,1986,0,0
718031,Al Reinert,1947,0,0
462304,Garrison Koch,1974,0,0
89001,Anssi Blomstedt,1945,0,0
6040928,Dagmara Brodziak,1989,0,0
285346,Jack Forbes,1959,0,0
374290,Peter Hein,1957,0,0
938705,Maria Wolska,1944,0,0
872214,Joanna Trzepiecinska,1965,0,0
11456,Jan Adamski,1923,0,0
570118,Roger McGuinn,1942,0,0
1973760,Yuriko Yoshitaka,1988,0,0
827594,Tisha Sterling,1944,0,0
328000,Ángeles González Sinde,1965,0,0
6861321,Helvecio Parente,1971,0,0
6949524,James Cantor,1966,0,0
2920950,Odunlade Adekola,1978,0,0
208168,Guido De Craene,1955,0,0
115026,Katrina Browne,1975,0,0
1343708,Fernanda Urrejola,1981,0,0
760045,Swaroop Sampat,1958,0,0
472100,Jerzy Kromolowski,1953,0,0
894563,Claire Vernet,1945,0,0
1747951,David J. Plescia,1977,0,0
363899,Kenneth Harper,1913,0,0
524944,Archie Ludski,1929,0,0
126384,Don Byron,1958,0,0
579398,Bernard Mendy,1981,0,0
3509225,Roman Polyanskiy,1983,0,0
1890276,Douglas Weir,1982,0,0
1461369,Christina Liang,1975,0,0
768597,Louis Saia,1950,0,0
673366,Uzi Peres,1951,0,0
2012363,Hovhannes Babakhanyan,1968,0,0
786624,John Sex,1956,0,0
54270,Aleksander Bardini,1913,0,0
501367,Lev Lemke,1931,0,0
408587,Irene Inescort,1928,0,0
359577,Evan Handler,1961,0,0
51355,Ferenc Balázs,1951,0,0
3198,Jerome Bixby,1923,0,0
1974957,So-young Kim,1990,0,0
703138,Emiliano Queiroz,1938,0,0
303013,Carla Gallo,1975,0,0
2030617,Vanessa Grigoriadis,1973,0,0
1476949,Otto Tausk,1970,0,0
304345,Rupa Ganguly,1966,0,0
2924350,Adina Pintilie,1980,0,0
72725,Paul Bentall,1948,0,0
56435,Pierre Barouh,1934,0,0
885533,Maila Nurmi,1922,0,0
6630259,Marusya Klimova,1989,0,0
117678,Jutta Brückner,1941,0,0
1783389,Edward Lee,1957,0,0
263625,J.D. Evermore,1968,0,0
117930,Fred Buch,1940,0,0
4576405,Jaime Christley,1977,0,0
271917,Willie Fennell,1920,0,0
5657463,Alessio Biagioni,1979,0,0
597940,Eddie Money,1949,0,0
3024530,Reda Kateb,1977,0,0
705486,Vlad Radescu,1952,0,0
628860,Wui Ng,1913,0,0
449608,Todd Kerns,1969,0,0
218981,Tassos Denegris,1934,0,0
1030557,Yûjin Kitagawa,1977,0,0
2020279,Georges Fillioud,1929,0,0
1950085,Angie Stevenson,1979,0,0
942408,Geoffrey Wright,1959,0,0
634736,Michela Noonan,1975,0,0
879857,Pankaj Udhas,1951,0,0
262402,Jean Eustache,1938,0,0
937480,Claire Wojas,1949,0,0
654109,Cliff Owen,1919,0,0
1404,Madeline Kahn,1942,0,0
4972751,Judit Varga,1979,0,0
500559,Herbert Leiser,1941,0,0
1197466,Stark Sands,1978,0,0
817153,Radoslav Spassov,1943,0,0
846446,Ron Taft,1947,0,0
788630,Stanley Shapiro,1925,0,0
1390786,Carlos Andrés Morelli,1977,0,0
650758,Irena Orska,1915,0,0
3068100,James P. Bennett,1975,0,0
991809,Vladimir Kapustin,1971,0,0
84461,Guto Bittencourt,1976,0,0
1748263,Ayaan Hirsi Ali,1969,0,0
1014196,Juan José Millás,1946,0,0
23469,Joe Alves,1936,0,0
406084,Lars Høy,1946,0,0
1755783,Rafael Nadal,1986,0,0
1549727,Bata Illic,1939,0,0
45580,Ryszard Bacciarelli,1928,0,0
3030574,Giancarlo Parretti,1942,0,0
291156,Johannes Franke,1983,0,0
236867,Charlie Drake,1925,0,0
215123,Donna Deitch,1945,0,0
4310394,Valentina Mazunina,1988,0,0
3865764,Thomas Stene-Johansen,1997,0,0
1111136,Lisa Udelson,1959,0,0
8181784,Yan Mikhaylov,1960,0,0
225824,Dido,1971,0,0
866408,Katarina Tomaschewsky,1949,0,0
345427,Gianfrancesco Guarnieri,1934,0,0
1650086,Kseniya Lavrova-Glinka,1977,0,0
1889202,Raul Torres,1906,0,0
176197,Umberto Contarello,1958,0,0
448949,Paul Kenworthy,1925,0,0
681893,Jay Pickett,1961,0,0
841339,Ján Svoboda,1951,0,0
512327,Michael Lindsay-Hogg,1940,0,0
377243,Dan Hennessey,1941,0,0
871750,Viktor Tregubovich,1935,0,0
4137849,Tamás Gerencsér,1984,0,0
